"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"3.83654054","0.0","0.26065149","0.0","1","7","false","戴鹿蕖","188.0","1","0","0","0.68482883","false","0","戴鹿蕖","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","馮二南","188.0","1","0","0","0.68482883","false","0","馮二南","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","沈芝香","188.0","1","0","0","0.68482883","false","0","沈芝香","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","沈毓麟","188.0","1","0","0","0.68482883","false","0","沈毓麟","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","陳湘湄","188.0","1","0","0","0.68482883","false","0","陳湘湄","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","劉安濤","188.0","1","0","0","0.68482883","false","0","劉安濤","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","徐昇甫","188.0","1","0","0","0.68482883","false","0","徐昇甫","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","陳輅清","188.0","1","0","0","0.68482883","false","0","陳輅清","0","0.0","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","莊陳芝","188.0","1","0","0","0.68482883","false","0","莊陳芝","0","0.0","PERSON"
"3.21210811","2.4697E-4","0.31132202","0.0","14","7","false","慶恩堂","102.0","14","0","0","0.75421021","false","0","慶恩堂","826486","0.17688266","ORG"
"3.81362162","5.014E-5","0.26221794","0.0","4","7","false","愛德華君","67.25","4","0","0","0.68737538","false","0","愛德華君","125198","0.28191489","PERSON"
"3.81362162","5.014E-5","0.26221794","0.0","4","7","false","朱仲賓","67.25","4","0","0","0.68737538","false","0","朱仲賓","125198","0.28191489","PERSON"
"3.21167568","5.5157E-4","0.31136394","0.0","16","7","false","北京","48.5","16","0","0","0.75425826","false","0","北京","4939160","0.08333333","ORG"
"3.81362162","5.014E-5","0.26221794","0.0","4","7","false","王立紉","67.25","4","0","0","0.68737538","false","0","王立紉","125198","0.28191489","PERSON"
"3.18659459","7.0405E-4","0.31381463","0.0","30","7","false","慶益善堂司","55.23333333","30","0","0","0.75704505","false","0","慶益善堂司","9666632","0.09053979","ORG"
"3.81794595","1.45E-4","0.26192094","0.0","11","7","false","紅十字會事務所","22.36363636","11","0","0","0.68689489","false","0","紅十字會事務所","1021172","0.14338011","ORG"
"4.17124324","1.1E-7","0.23973668","0.0","2","8","false","王爺中堂","34.0","2","0","0","0.64763964","false","0","王爺中堂","378","0.75","PERSON"
"3.20302703","0.00273558","0.31220467","0.0","23","7","false","北京外務部","52.60869565","23","0","0","0.75521922","false","0","北京外務部","12467152","0.09006753","ORG"
"4.18767568","8.079E-5","0.23879595","0.0","7","7","false","紅十字會南市分會","35.71428571","7","0","0","0.64581381","false","0","紅十字會南市分會","846046","0.21167247","ORG"
"4.15394595","1.955E-5","0.24073496","0.0","5","8","false","孫廷翰","31.2","5","0","0","0.64956156","false","0","孫廷翰","36112","0.37283951","PERSON"
"4.17124324","1.1E-7","0.23973668","0.0","2","8","false","沈衞","34.0","2","0","0","0.64763964","false","0","沈衞","378","0.75","PERSON"
"4.17124324","1.1E-7","0.23973668","0.0","2","8","false","張元濟","34.0","2","0","0","0.64763964","false","0","張元濟","378","0.75","PERSON"
"4.17124324","1.1E-7","0.23973668","0.0","2","8","false","汪康年","34.0","2","0","0","0.64763964","false","0","汪康年","378","0.75","PERSON"
