DocId,Date,Title,Source
SPSP190401151001,19040115,善捐誌謝,shunpao
SPSP190411161002,19041116,八月初二日至九月廿五日施藥捐有嬰捐清單,shunpao
SPSP190412290304,19041229,甬江寓滬諸紳商公禀外務部電文,shunpao
SPSP190501110311,19050111,亦衣亦食,shunpao
SPSP190512251004,19051225,有加無已,shunpao
SPSP190706192004,19070619,振務,shunpao
SPSP191010071911,19101007,縣批三則,shunpao
SPSP190004101001,19000410,本年正月至二月底止醫藥捐并各項捐清單,shunpao
SPSP191110211803,19111021,維持滬市之救急法,shunpao
SPSP192009271010,19200927,各方面之籌賑聲,shunpao
